Date,Open,High,Low,Close,Adj Close,Volume
1983-01-17,3.117188,3.132813,3.093750,3.109375,1.218724,5368000
1983-01-18,3.085938,3.101563,3.062500,3.070313,1.203414,2592000
1983-01-19,3.046875,3.070313,3.015625,3.062500,1.200351,3046400
1983-01-20,3.062500,3.085938,3.039063,3.062500,1.200351,2755200
1983-01-21,3.000000,3.070313,2.921875,2.960938,1.160543,4020800
1983-01-24,2.914063,2.945313,2.875000,2.921875,1.145233,3777600
1983-01-25,2.984375,3.031250,2.937500,3.015625,1.181979,3824000
1983-01-26,2.976563,3.015625,2.937500,2.968750,1.163606,2337600
1983-01-27,3.031250,3.085938,2.968750,3.062500,1.200351,3153600
1983-01-28,3.039063,3.078125,3.000000,3.023438,1.185041,2777600
1983-01-31,3.007813,3.031250,2.984375,3.023438,1.185041,1912000
1983-02-01,3.023438,3.054688,2.984375,2.984375,1.169729,2760000
1983-02-02,2.937500,2.953125,2.914063,2.914063,1.142171,5364800
1983-02-03,2.914063,2.945313,2.875000,2.875000,1.126860,4806400
1983-02-04,2.898438,2.921875,2.867188,2.875000,1.126860,8208000
1983-02-07,2.921875,2.953125,2.890625,2.914063,1.142171,5416000
1983-02-08,2.898438,2.929688,2.867188,2.898438,1.136047,5132800
1983-02-09,2.875000,2.898438,2.851563,2.875000,1.126860,5097600
1983-02-10,2.890625,2.906250,2.867188,2.882813,1.129923,4476800
1983-02-11,2.867188,2.914063,2.812500,2.843750,1.114612,5587200
1983-02-14,2.867188,2.882813,2.843750,2.875000,1.126860,5177600
1983-02-15,2.898438,2.914063,2.882813,2.898438,1.136047,6505600
1983-02-16,2.890625,2.921875,2.859375,2.882813,1.129923,5425600
1983-02-17,2.890625,2.898438,2.875000,2.898438,1.136047,3356800
1983-02-18,2.898438,2.914063,2.875000,2.890625,1.139125,5628800
1983-02-22,2.882813,2.929688,2.828125,2.851563,1.123732,7051200
1983-02-23,2.851563,2.875000,2.820313,2.859375,1.126810,7329600
1983-02-24,2.890625,2.914063,2.859375,2.914063,1.148362,6353600
1983-02-25,2.953125,2.984375,2.921875,2.960938,1.166834,9126400
1983-02-28,2.960938,2.984375,2.937500,2.960938,1.166834,7352000
1983-03-01,3.031250,3.093750,2.968750,3.062500,1.206857,9416000
1983-03-02,3.117188,3.125000,3.101563,3.125000,1.231487,9608000
1983-03-03,3.132813,3.164063,3.101563,3.140625,1.237644,5193600
1983-03-04,2.976563,3.140625,2.812500,3.000000,1.182227,12761600
1983-03-07,2.851563,2.890625,2.812500,2.890625,1.139125,31960000
1983-03-08,2.859375,2.882813,2.835938,2.867188,1.129889,12281600
1983-03-09,2.890625,2.929688,2.851563,2.921875,1.151441,12568000
1983-03-10,2.914063,2.953125,2.875000,2.875000,1.132967,14932800
1983-03-11,2.859375,2.875000,2.835938,2.875000,1.132967,11419200
1983-03-14,2.867188,2.882813,2.851563,2.867188,1.129889,6134400
1983-03-15,2.859375,2.898438,2.820313,2.835938,1.117574,7331200
1983-03-16,2.828125,2.851563,2.796875,2.804688,1.105260,9137600
1983-03-17,2.820313,2.851563,2.789063,2.828125,1.114495,5256000
1983-03-18,2.859375,2.875000,2.843750,2.859375,1.126810,6267200
1983-03-21,2.859375,2.875000,2.835938,2.843750,1.120653,4083200
1983-03-22,2.875000,2.898438,2.867188,2.898438,1.142204,6209600
1983-03-23,2.914063,2.953125,2.914063,2.937500,1.157598,7259200
1983-03-24,2.945313,2.945313,2.882813,2.914063,1.148362,3742400
1983-03-25,2.914063,2.945313,2.914063,2.937500,1.157598,5929600
1983-03-28,2.937500,2.992188,2.929688,2.992188,1.179149,3454400
1983-03-29,2.984375,3.000000,2.960938,2.968750,1.169912,3835200
1983-03-30,3.000000,3.023438,2.984375,2.992188,1.179149,3526400
1983-03-31,3.007813,3.007813,2.953125,2.960938,1.166834,2590400
1983-04-04,2.906250,2.914063,2.882813,2.914063,1.148362,5128000
1983-04-05,2.914063,2.929688,2.898438,2.906250,1.145283,3844800
1983-04-06,2.898438,2.898438,2.851563,2.859375,1.126810,5385600
1983-04-07,2.875000,2.890625,2.820313,2.843750,1.120653,9059200
1983-04-08,2.843750,2.859375,2.820313,2.859375,1.126810,3940800
1983-04-11,2.859375,2.875000,2.820313,2.843750,1.120653,4241600
1983-04-12,2.835938,2.843750,2.796875,2.820313,1.111417,7120000
1983-04-13,2.828125,2.835938,2.812500,2.835938,1.117574,8110400
1983-04-14,2.851563,2.851563,2.835938,2.843750,1.120653,4995200
1983-04-15,2.835938,2.875000,2.828125,2.875000,1.132967,5886400
1983-04-18,2.875000,2.984375,2.859375,2.984375,1.176070,10601600
1983-04-19,2.984375,3.039063,2.968750,2.976563,1.172992,9427200
1983-04-20,2.976563,3.039063,2.976563,3.023438,1.191464,5372800
1983-04-21,3.039063,3.046875,2.992188,3.023438,1.191464,6841600
1983-04-22,3.054688,3.062500,3.023438,3.039063,1.197621,8238400
1983-04-25,3.046875,3.078125,3.007813,3.015625,1.188385,7400000
1983-04-26,3.000000,3.015625,2.976563,3.000000,1.182227,4187200
1983-04-27,3.023438,3.046875,3.000000,3.046875,1.200700,5896000
1983-04-28,3.109375,3.156250,3.062500,3.140625,1.237644,12336000
1983-04-29,3.140625,3.164063,3.109375,3.132813,1.234566,14784000
1983-05-02,3.093750,3.140625,3.039063,3.093750,1.219173,9603200
1983-05-03,3.117188,3.218750,3.109375,3.179688,1.253038,10600000
1983-05-04,3.140625,3.179688,3.101563,3.148438,1.240723,8472000
1983-05-05,3.148438,3.171875,3.125000,3.148438,1.240723,3947200
1983-05-06,3.156250,3.195313,3.148438,3.148438,1.240723,5240000
1983-05-09,3.132813,3.140625,3.078125,3.101563,1.222251,4212800
1983-05-10,3.117188,3.156250,3.109375,3.156250,1.243803,5499200
1983-05-11,3.156250,3.156250,3.101563,3.125000,1.231487,3832000
1983-05-12,3.125000,3.125000,3.039063,3.062500,1.206857,4846400
1983-05-13,3.093750,3.109375,3.062500,3.062500,1.206857,3302400
1983-05-16,3.023438,3.062500,3.015625,3.039063,1.204381,2496000
1983-05-17,3.078125,3.093750,3.062500,3.070313,1.216765,2732800
1983-05-18,3.109375,3.109375,3.039063,3.039063,1.204381,4136000
1983-05-19,3.039063,3.054688,2.976563,2.976563,1.179612,3470400
1983-05-20,2.953125,2.968750,2.937500,2.953125,1.170324,8067200
1983-05-23,2.937500,2.992188,2.921875,2.984375,1.182708,6854400
1983-05-24,3.000000,3.070313,2.992188,3.031250,1.201284,6038400
1983-05-25,3.031250,3.046875,3.000000,3.015625,1.195092,11718400
1983-05-26,3.015625,3.023438,2.992188,3.023438,1.198188,8099200
1983-05-27,3.015625,3.023438,2.937500,2.945313,1.167228,8750400
1983-05-31,2.914063,2.921875,2.859375,2.875000,1.139362,4816000
1983-06-01,2.875000,2.914063,2.875000,2.882813,1.142459,5240000
1983-06-02,2.937500,2.937500,2.921875,2.937500,1.164132,6062400
1983-06-03,2.945313,2.968750,2.914063,2.960938,1.173420,4940800
1983-06-06,2.960938,2.960938,2.937500,2.945313,1.167228,3398400
1983-06-07,2.953125,2.953125,2.898438,2.921875,1.157940,2796800
1983-06-08,2.921875,2.929688,2.859375,2.875000,1.139362,8028800
1983-06-09,2.859375,2.898438,2.859375,2.875000,1.139362,8220800
